2015,Bangkok Rain ,176 Rathdowne Street
2015,Banoi,807-811 Bourke Street
2015,Bar Centrale Function Room,160-162 Lygon Street
2015,Bar Centrale,160-162 Lygon Street
2015,Bar Commercio,156-180 Berkeley Street
2015,Bar Humbug,203-207 King Street
2015,Bar Lourinha,37 Little Collins Street
2015,Bar Scopa ,127-133 Leicester Street
2015,Baraonda ,18-38 Siddeley Street
2015,Baretto Cafe,153-163 Barry Street
2015,Barista & Associates,551-555 Little Lonsdale Street
2015,Barista 101,89-105 Collins Street
2015,Barista Cafe,242-284 Exhibition Street
2015,Basement Espresso,180-184 Victoria Parade
2015,Batman's Hill On Collins Hotel,607-623 Collins Street
2015,Bean Buzz Cafe,512 Macaulay Road
2015,Beanstalk Cafe,790-814 Collins Street
2015,Bear Brass,3 Southgate Avenue
2015,Beatrix Cafe,688 Queensberry Street
2015,Becasse Bakery,269-321 Lonsdale Street
2015,Becco,11-25 Crossley Street
2015,Beer De Luxe,2 Swanston Street
2015,Belgian Beer Cafe Melbourne,3-7 Riverside Quay
2015,Beluga At Chevron ,519-539 St Kilda Road
2015,Benito's,422-428 Collins Street
2015,Bennetts Lane Jazz Club,25 Bennetts Lane
2015,Bento King,832-834 Swanston Street
2015,Bentoya Eat Drink Bento,115-123 Hardware Street
2015,Bergerac Restaurant,131-137 King Street
2015,Berth Restaurant,45 Newquay Promenade
2015,Berto's Bar,178-188 William Street
2015,Bhoj On Docklands ,16-32 Rakaia Way
2015,Big Boy BBQ,27-31 Hardware Lane
2015,Billy Green's,459 Collins Street
2015,Biryani House,343 King Street
2015,Bistro Du Peuple,302-308 Flinders Lane
2015,Bistro Gitan,2-14 Hope Street
2015,Bistro Guillaume,8 Whiteman Street
2015,Bistro Vite,84-90 Lorimer Street
2015,Bistro Vue,430-436 Little Collins Street
2015,Bistrot D'Orsay,184-192 Collins Street
2015,Bite ,385 Bourke Street
2015,Black Jack Cafe,1 Phillip Court
2015,Black Velvet Espresso ,136-144 Exhibition Street
2015,Blackball Lonsdale,272-282 Lonsdale Street
2015,Blackball,206-218 Bourke Street
2015,Blahnik,335-349 Little Collins Street
2015,Blok M Express,380-384 Little Bourke Street
2015,Blondie Bar,31 Sturt Street
